Contexto_H,SubCuenca,Cod_Muestr,Cod_SNGM,Nombre_Pto,uTM_Este,uTM_Norte,Elv,Tipo_Pto,Categoria,Campana,Tipo_Piper,Salinidad,Balan_Ioni,Oxigeno_18,Deuterio,Ex_deuteri,D_O,pH_Terr,pH_Lab,CE_terr,CE_Lab_uS_,OD _,OD ppm,Temp_Terr,CO3_mg/l,HCO3_mg/l,SO4_mg_l,Cl_mg_l,NO3_mg_l,Ca_mg_l,Mg_mg_l,Na_mg_l,K_mg_l,Li_mg_l,F_mg_l,Al_mg_l,Sb_mg_l,As_mg_l,Ba_mg_l,Be_mg_l,B_mg_l,Cd_mg_l,Co_mg_l,Cu_mg_l,Cr_mg_l,Sn_mg_l,P_mg_l,Fe_mg_l,Mn_mg_l,Hg_mg_l,Mo_mg_l,Ag_mg_l,Pb_mg_l,Se_mg_l,V_mg_l,Zn_mg_l,Br_mg_l,Rb_mg_l,Sr_mg_l,Y_mg_l,Cs_mg_l,Hf_mg_l,Ta_mg_l,Tl_mg_l,Th_mg_l,u_mg_l,Ni_mg_l,SiO2_mg_l,I_mg_l,SSD_mg_l,STD_mg_l,Alca_CaCO3,TDS_meq_l,Balan_abso,Balan_5,Cat_r_tot,An_r_tot,rNa_rK,rNa,rK,rCa,rMg,rLi,rB,rAs,rFe,rAl,rMn,rZn,rHCO3_rCO3,rHCO3,rSO4,rCl,rNO3,rCO3,rF,rBr,rCa_rCO3,rCa_rSO4,rNa_rCl,rBr_rCl,rMg_rCa,ICB,rCat_tot,Ca,Mg,Na_K,CatX,CatY,rAn_tot,HCO3_CO3,SO4,Cl,AnX,AnY,CeX,CeY,Anion,Cation,K_NaCl,Ca_MgSO4HC,RAS_1,Infoqca,Codlab,InfoOD,Na100
B2,Rio Grande Medio,LIM-FF-036,SNGM-LMR-0099,Vertiente El Sauce Verde en Comunidad Agricola Montepatria,315545,6611962,797.73,Vertiente,Vertiente,Campana 2,Mixta calcica,Dulce moderadamente mineralizada,-1.01,-6.63,-53.9,-0.91,8.137546894,7.32,8.49,619,563,0,0,22.35,3.6,105,89,12,21,44,11,26,0.3,0.01,0.08,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.011,0.0015,0,0.0025,0.001,0.001,0.017,0.0015,0.018,0.16,0.0005,0.33,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,258,273,92,8.663292774,1.008424669,Admisible,4.287850805,4.37521126,1.1386,1.13093,0.00767,2.195718349,0.905163547,0.001440715,0.044399223,0.00016684,0.000590921,0.001111852,0.000109214,0.000550627,1.840846925,1.720862923,1.852989246,0.338476293,0.338687827,0.119984002,0.00421097,0.002002403,18.3000926,1.184960114,3.34122807,0.005915932,0.41224028,-2.363897388,4.239481412,0.517921447,0.213508082,0.26857047,0.37532,0.1849,4.03231,0.456523878,0.459535134,0.083940988,1.413708555,0.3979691,0.956023296,1.190703222,Mixta,calcica,0.800123224,-0.472970273,0.908252834,2019-031,8329-19,IE 039-19,26.67605728
B2,Rio Grande Medio,LIM-FF-037,SNGM-LMR-0100,Vertiente El Maiten en Comunidad Agricola Montepatria,315636,6613938,923.48,Vertiente,Vertiente,Campana 2,Bicarbonatada mixta,Dulce moderadamente mineralizada,-3.83,-6.87,-55.8,-0.82,8.11987169,7.51,8.54,449,466,0,0,24.71,4.8,110,28,11,39,27,7.5,28,0.3,0.01,0.07,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.011,0.008,0,0.0025,0.001,0.001,0.021,0.004,0.042,0.13,0.0005,0.29,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,200,212,98,6.718719812,3.829142739,Admisible,3.231375417,3.488696566,1.22559,1.21792,0.00767,1.347372623,0.617156964,0.001440715,0.036074369,0.00016684,0.000590921,0.001111852,0.000582475,0.001284797,1.962787446,1.802808776,0.582962909,0.310269935,0.628991678,0.15997867,0.003684598,0.001626952,8.422201707,2.311249314,3.925358852,0.005243667,0.458044755,-2.950089017,3.190123449,0.422357518,0.193458646,0.384183835,0.48091,0.16754,2.85602,0.687245624,0.204117216,0.108637161,1.310695768,0.176770694,0.898469106,0.890768218,Bicarbonatada,mixta,0.915323927,-0.421242098,1.228866686,2019-031,8330-19,IE 039-19,38.17785909
B1,Rio Hurtado,LIM-FF-038,SNGM-LMR-0176,Noria APR Las Breas,346549,6636831,1684.29,Subterranea,Noria,Campana 2,Mixta calcica,Dulce moderadamente mineralizada,-0.43,-13.23,-102.3,3.53,7.733431812,6.75,7.73,318,351,0,0,21.98,0,96,81,5.8,4.5,51,6.4,8,0.9,0.01,0.08,0.01,0.005,0.0025,0.007,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.036,0.0015,0,0.0025,0.001,0.001,0.01,0.0015,0.196,0.06,0.0005,0.25,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,205,216,79,6.963788946,0.431697119,Admisible,3.47008222,3.500172609,0.371,0.34798,0.02302,2.545037178,0.526640609,0.001440715,0.016649709,0.00016684,0.001933924,0.001111852,0.000109214,0.005995717,1.573360386,1.573360386,1.686428415,0.163596875,0.072575963,0,0.00421097,0.000750901,-99,1.509128496,2.127041742,0.004589948,0.206928454,-1.267747855,3.442674248,0.739261688,0.152974278,0.107764033,0.18425,0.13248,3.42339,0.459591917,0.492620048,0.047788035,1.394098059,0.426621476,0.874086058,1.327308682,Mixta,calcica,0.207399587,-0.188111015,0.280787768,2019-031,8331-19,IE 039-19,10.1077638
B1,Rio Hurtado,LIM-FF-039,SNGM-LMR-0103,Vertiente El Bolsico,349353,6635910,1921,Vertiente,Vertiente,Campana 2,Bicarbonatada calcica,Dulce,-2.92,-11.51,-83.9,8.11,7.2947366,7.73,9.61,769,150,0,0,21.27,9.1,35,19,1.1,1.5,13,1.2,11,0.4,0.01,0.03,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.013,0.0015,0,0.0025,0.001,0.001,0.006,0.0015,0.013,0.05,0.0005,0.05,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,72,76,44,2.582280044,2.915481184,Admisible,1.253979098,1.329293937,0.4887,0.47847,0.01023,0.648734967,0.098745114,0.001440715,0.013874757,0.00016684,0.000698362,0.001111852,0.000109214,0.000397675,0.876913868,0.573620974,0.395581974,0.031026993,0.024191988,0.303292894,0.001579114,0.000625751,2.138971862,1.63995078,15.42105263,0.020167952,0.152211796,-14.75078817,1.236179683,0.524790187,0.079879257,0.395330556,0.43527,0.06918,1.30352,0.672726127,0.303471457,0.023802417,1.275538145,0.262813991,0.911302215,0.893689128,Bicarbonatada,calcica,0.457672608,-0.221722867,0.782652361,2019-031,8332-19,IE 039-19,38.70544923
B1,Rio Hurtado,LIM-FF-040,SNGM-LMR-0020,Rio Hurtado en Las Breas,345261,6638469,1609,Superficial,Rio,Campana 2,Sulfatada calcica,Dulce moderadamente mineralizada,-3.66,-13.63,-104.6,4.45,7.673450737,8.07,8.28,494,317,0,0,17.44,3.9,79,93,6.1,1.5,49,5.9,8,0.5,0.03,0.14,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.012,0.009,0,0.0025,0.001,0.001,0.006,0.0015,0.015,0.05,0.0011,0.16,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,206,218,71,6.875745284,3.66257646,Admisible,3.312728744,3.564616782,0.36077,0.34798,0.01279,2.445231798,0.485496811,0.004322144,0.013874757,0.00016684,0.000644641,0.001111852,0.000655284,0.000458856,1.424727154,1.294744485,1.936269662,0.172058782,0.024191988,0.129982669,0.007369197,0.000625751,18.8119833,1.262857052,2.022433132,0.003636844,0.19854838,-1.096758765,3.291494369,0.742894116,0.147500423,0.109605462,0.18336,0.12774,3.53306,0.403256364,0.548043926,0.04869971,1.422721673,0.474619963,0.903174549,1.374501979,Sulfatada,calcica,0.188706977,-0.300285537,0.287460523,2019-031,8333-19,IE 039-19,10.57201813
B1,Rio Hurtado,LIM-FF-041,SNGM-LMR-0149,Pozo 2 Nuevo APR Hurtado - El Chanar,343208,6647164,1343,Subterranea,Pozo,Campana 2,Bicarbonatada calcica,Dulce moderadamente mineralizada,-3.02,-13.39,-101.6,5.48,7.590987417,6.86,7.97,357,395,0,0,17.22,0,144,100,7,5.62,61,8.2,16,1,0.03,0.14,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.081,0.007,0,0.0025,0.001,0.001,0.0025,0.0015,0.021,0.03,0.0005,0.22,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,269,284,118,9.195398476,3.019597268,Admisible,4.459782958,4.737503983,0.72153,0.69595,0.02558,3.044064075,0.67475828,0.004322144,0.008324854,0.00016684,0.00435133,0.001111852,0.000509665,0.000642398,2.36004058,2.36004058,2.082010389,0.197444504,0.090639314,0,0.007369197,0.000375451,-99,1.462079196,3.52481203,0.00190155,0.221663626,-2.654350991,4.440353874,0.685545378,0.151960474,0.162494148,0.23847,0.1316,4.6395,0.508684747,0.448757931,0.042557322,1.366936288,0.388635768,0.876904701,1.237395375,Bicarbonatada,calcica,0.524087015,-0.723228614,0.510379583,2019-031,8334-19,IE 039-19,15.67340763
C1,Rio Hurtado,LIM-FF-042,SNGM-LMR-0052,Embalse Recoleta en caleta sur,299783,6624739,389.156708,Superficial,Embalse,Campana 2,Mixta calcica,Dulce moderadamente mineralizada,-4.81,-8.34,-70.4,-3.67,8.440001827,8.23,8.55,471,513,0,0,20.3,5.6,162,116,17,1.5,64,13,21,1.2,0.03,0.16,0.01,0.005,0.03,0.077,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.033,0.0015,0,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.08,0.0005,0.34,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.0025,0,0,317,335,142,11.00788291,4.811182365,Admisible,5.239314234,5.768941493,0.94413,0.91344,0.03069,3.193772144,1.069738737,0.004322144,0.022199612,0.002002082,0.001772764,0.001111852,0.000109214,0.000152952,2.841687433,2.655045652,2.415132052,0.479508081,0.024191988,0.186641781,0.008421939,0.001001201,17.1117749,1.322400629,1.90495356,0.002087976,0.334945227,-0.968961047,5.207643615,0.613285467,0.20541704,0.181297493,0.28401,0.1779,5.73633,0.495384442,0.421024083,0.083591475,1.394103516,0.364617551,0.892956525,1.232629601,Mixta,calcica,0.464624652,-0.806666822,0.625621454,2019-031,8335-19,IE 039-19,17.54038283
A1,Rio Hurtado,LIM-FF-043,SNGM-LMR-0130,Pozo 1 ESSCO en Huamalata,293012,6616058,250.525299,Subterranea,Pozo,Campana 2,Mixta calcica,Dulce moderadamente mineralizada,-2.74,-7.64,-55.4,5.74,7.249218203,7.64,8.44,603,666,0,0,20.01,5.4,176,90,44,14.23,72,13,31,0.7,0.02,0.09,0.01,0.005,0.022,0.018,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.001,0.001,0.005,0.007,0.037,0.13,0.0005,0.37,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,357,377,153,12.48496582,2.735161329,Admisible,6.072093985,6.413597798,1.36632,1.34841,0.0179,3.592993662,1.069738737,0.002881429,0.036074369,0.001468194,0.000268601,0.001111852,0.000109214,0.001131845,3.064470045,2.884494042,1.87380935,1.241079739,0.229501322,0.179976003,0.004737341,0.001626952,19.96373738,1.917480912,1.086483254,0.001310917,0.297729091,-0.100909183,6.029048482,0.595947051,0.177430774,0.226622175,0.31534,0.15366,6.17936,0.495920366,0.303236842,0.200842792,1.452461213,0.262610809,0.915350905,1.192913152,Mixta,calcica,0.125236343,-0.095570993,0.883115434,2019-031,8336-19,IE 039-19,22.36525975
A1,Rio Grande Bajo,LIM-FF-044,SNGM-LMR-0131,Pozo A.P. Sotaqui,296363,6609067,268.21,Subterranea,Noria,Campana 2,Bicarbonatada calcica,Dulce moderadamente mineralizada,-4.13,-8.97,-70.4,1.36,7.848259727,8.03,8.72,384,387,0,0,18.11,8.2,137,57,14,1.5,45,11,14,0.8,0.03,0.14,0.01,0.005,0.0025,0.026,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.018,0.003,0,0.0025,0.001,0.001,0.0025,0.0015,0.011,0.06,0.0005,0.24,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,216,229,125,7.934872356,4.131039614,Admisible,3.803978837,4.131809393,0.62942,0.60896,0.02046,2.245621039,0.905163547,0.004322144,0.016649709,0.00016684,0.000966962,0.001111852,0.000218428,0.000336494,2.518613278,2.245316385,1.186745922,0.394889008,0.024191988,0.273296894,0.007369197,0.000750901,8.216782153,1.8922509,1.542105263,0.00190155,0.403079385,-0.593920847,3.780206408,0.594047202,0.239448181,0.166504618,0.28623,0.20737,4.10025,0.614258735,0.289432703,0.096308562,1.341024913,0.250656073,0.826122941,1.14249245,Bicarbonatada,calcica,0.234532814,-0.281277721,0.485170857,2019-031,8337-19,IE 039-19,16.10918431
A2,Rio Limari,LIM-FF-045,SNGM-LMR-0004,APR Oruro Alto,260620,6610197,108,Superficial,Rio,Campana 2,Clorurada sodica,Salobre,-1.64,-7.03,-56,0.28,7.960489737,8.1,8.55,2391,2660,0,0,21.74,15,413,315,504,39,140,56,363,2.1,0.03,0.24,0.01,0.005,0.0025,0.114,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.036,0.004,0,0.0025,0.001,0.001,0.038,0.007,0.254,1.1,0.0005,0.71,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.003,0.0025,0,0,1636,1728,363,56.44772329,1.640793236,Admisible,27.75850738,28.68462244,15.84318,15.78947,0.05371,6.986376566,4.608105328,0.004322144,0.305244658,0.00016684,0.001933924,0.001111852,0.000291237,0.00776996,7.268660838,6.768727496,6.558332726,14.21600429,0.628991678,0.499933342,0.012632909,0.01376652,13.97461617,1.065267173,1.110682957,0.000968382,0.659584448,-0.114461177,27.43766677,0.254627211,0.167948148,0.577424641,0.6614,0.14545,28.043,0.259196997,0.233867034,0.506935969,1.723869486,0.202534792,1.209113822,1.094117756,Clorurada,sodica,1.627180584,-1.732578328,6.557782044,2019-031,8338-19,IE 039-19,57.54670694
Fuera del area de estudio,Fuera,LIM-FF-046,SNGM-LMR-0088,Ojo de agua El Corcobado Parque Nacional Fray Jorge,241406,6608391,188,Vertiente,Vertiente,Campana 4,Clorurada sodica,Salobre,-0.04,-5.41,-31.8,11.42,5.888401251,8.43,8.07,3488,3260,1.3,0.12,16.87,0,150,193,882,50,103,82,438,16,0.04,0.27,0.01,0.005,0.0025,0.007,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.001,0.001,0.023,0.0015,0.005,2.85,0.0014,0.4,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.0025,0,0,1837,1940,123,64.3565516,0.04398433,Admisible,32.14698305,32.17527477,19.46099,19.05176,0.40923,5.139977045,6.747582802,0.005762858,0.79086116,0.00016684,0.000268601,0.001111852,0.000109214,0.000152952,2.458375604,2.458375604,4.018280051,24.8780075,0.806399587,0,0.014212022,0.035667801,-99,1.279148536,0.765807376,0.001433708,1.312765163,0.217743233,31.34854958,0.163962196,0.21524386,0.620793944,0.72842,0.18641,31.35466,0.078405422,0.12815574,0.793438838,1.957516708,0.110986126,1.321194261,1.213128935,Clorurada,sodica,-5.417017774,5.410904192,7.814546484,2019-067,8451-19,IE 048-19,60.77398123
A3,Rio Limari,LIM-FF-047,SNGM-LMR-0151,Noria El Refugio Conaf Parque Nacional Fray Jorge,242756,6598235,72,Subterranea,Noria,Campana 4,Clorurada sodica,Salobre,1.26,-4.71,-27.8,9.92,5.896181444,8.01,8.23,2954,2860,1.4,0.14,11.69,2.7,275,116,714,36,94,83,358,27,0.02,0.16,0.01,0.005,0.0025,0.035,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.006,0,0.011,0.001,0.001,0.038,0.005,0.044,2.37,0.0037,0.35,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.01,0.0025,0,0,1564,1652,230,56.21443546,1.257655768,Admisible,28.44715851,27.74051104,16.26256,15.57199,0.69057,4.690852837,6.829870397,0.002881429,0.657663491,0.00016684,0.000268601,0.001111852,0.000436856,0.001345977,4.597009942,4.50702194,2.415132052,20.13933941,0.580607703,0.089988002,0.008421939,0.029660593,52.12753649,1.942275924,0.773212443,0.001472769,1.455997584,0.192497832,27.78328346,0.168837238,0.24582661,0.585336152,0.70825,0.21289,27.15148,0.169309728,0.088950287,0.741739985,1.886215128,0.077033208,1.258013212,1.165110845,Clorurada,sodica,-3.876779179,4.598569242,6.488124597,2019-067,8452-19,IE 048-19,56.04804717
A2,Rio Limari,LIM-FF-048,SNGM-LMR-0152,Noria El Mineral Conaf Parque Nacional Fray Jorge,244516,6605294,226,Subterranea,Noria,Campana 4,Clorurada sodica,Salobre,1.24,-5.48,-30.9,12.9,5.644172688,7.52,8.17,2501,2440,1.4,0.13,16.99,0,226,138,585,56,95,79,285,17,0.02,0.21,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.001,0.001,0.038,0.012,0.005,1.87,0.0037,0.22,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.008,0.0025,0,0,1364,1440,185,48.61067799,1.244146359,Admisible,24.59658141,23.99206751,12.8315,12.39669,0.4348,4.740755527,6.500720016,0.002881429,0.518915919,0.00016684,0.000268601,0.001111852,0.000109214,0.000152952,3.703952576,3.703952576,2.873174337,16.50071926,0.903167538,0,0.011053795,0.023403084,-99,1.65000622,0.751282051,0.001418307,1.371241352,0.222367288,24.07297461,0.196932685,0.270042241,0.533025074,0.66805,0.23386,23.07785,0.160498192,0.124499241,0.715002567,1.877252188,0.107819506,1.236263441,1.218044582,Clorurada,sodica,-3.669220198,4.66434863,5.22888664,2019-067,8453-19,IE 048-19,51.49631243
A3,Rio Limari,LIM-FF-049,SNGM-LMR-0154,Noria Administracion Conaf Parque Nacional Fray Jorge,247480,6603493,169,Subterranea,Noria,Campana 4,Mixta,Dulce moderadamente mineralizada,1.53,-4.66,-31.7,5.57,6.806694367,7.7,8.18,827,822,1.1,0.13,18.5,0,232,27,123,29,41,39,67,7.6,0.02,0.15,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.016,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.001,0.001,0.027,0.101,0.005,0.72,0.0048,0.1,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.01,0.0025,0,0,447,472,190,16.88546432,1.534486968,Admisible,8.568407797,8.309419733,3.10869,2.91431,0.19438,2.04601028,3.209216211,0.002881429,0.199796504,0.00016684,0.000268601,0.001111852,0.000109214,0.000152952,3.8022876,3.8022876,0.562142805,3.469381999,0.467711761,0,0.007895568,0.009010813,-99,3.639662843,0.840008558,0.002597239,1.568523991,0.103963209,8.363920405,0.244623356,0.383697603,0.371679041,0.56353,0.33229,7.83381,0.485368733,0.071758523,0.442872744,1.578752006,0.062144704,0.993155154,1.076428204,Mixta,mixta,-0.360688084,0.890796085,1.797856855,2019-067,8454-19,IE 048-19,34.84383434
Fuera del area de estudio,Fuera,LIM-FF-050,SNGM-LMR-0089,Ojo de agua El Peral,246409,6617690,346,Vertiente,Vertiente,Campana 4,Bicarbonatada mixta,Dulce moderadamente mineralizada,-0.18,-4.85,-32.9,5.9,6.781729381,7.89,8.26,692,695,1.4,0.13,15.98,2.9,230,20,74,48,43,33,47,4.6,0.02,0.12,0.01,0.005,0.0025,0.003,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.003,0,0.0025,0.001,0.001,0.022,0.06,0.005,0.35,0.0019,0.07,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.005,0.0025,0,0,385,407,193,14.27844256,0.175445136,Admisible,7.125249895,7.150295645,2.16202,2.04437,0.11765,2.145815659,2.71549064,0.002881429,0.0971233,0.00016684,0.000268601,0.001111852,0.000218428,0.000152952,3.866163039,3.769509259,0.416402078,2.087270471,0.774143604,0.096653779,0.006316454,0.004380256,22.20105277,5.153229952,0.979445235,0.002098557,1.265481789,-0.035812188,7.023326492,0.30552697,0.386638816,0.307834214,0.50115,0.33484,6.36984,0.606948639,0.06537093,0.327680431,1.460365896,0.056612886,0.900442788,1.026428158,Bicarbonatada,mixta,0.074749722,0.675394962,1.311285901,2019-067,8455-19,IE 048-19,29.10824548
A2,Rio Limari,LIM-FF-051,SNGM-LMR-0004,APR Oruro Alto,260620,6610197,108,Superficial,Rio,Campana 4,Clorurada sodica,Salobre,-0.84,-6.96,-56.1,-0.41,8.059535384,7.99,8.34,2726,2660,1.7,0.17,14.56,7.72,354.1,299,506,99,142,59,356,2.2,0.02,0.23,0.01,0.005,0.0025,0.05,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.001,0.001,0.027,0.019,0.146,0.74,0.0005,0.54,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.0025,0,0,1645,1737,303,55.86744694,0.841952396,Admisible,27.69676294,28.16711016,15.54126,15.48499,0.05627,7.086181945,4.854968114,0.002881429,0.205346406,0.00016684,0.000268601,0.001111852,0.000109214,0.004466198,6.060704369,5.803405342,6.225211064,14.272417,1.596671183,0.257299027,0.012106538,0.009261113,27.54064807,1.138303886,1.084959434,0.000648882,0.685131733,-0.088901924,27.4824124,0.257844248,0.176657276,0.565498476,0.65383,0.15299,26.55833,0.228203498,0.234397663,0.537398838,1.75459767,0.202994331,1.218647489,1.131287275,Clorurada,sodica,1.268845335,-0.087466347,6.337280738,2019-067,8456-19,IE 048-19,56.34510265
A1,Rio Limari,LIM-FF-052,SNGM-LMR-0113,Pozo 1 APR Barraza,261546,6605798,50,Subterranea,Pozo,Campana 4,Clorurada sodica,Salobre,-4.33,-7.4,-61.1,-1.84,8.248363091,7.4,8.24,2816,2740,1.6,0.14,20.9,3.9,369,390,535,71,90,78,385,4.6,0.02,0.2,0.01,0.005,0.0025,0.122,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.013,0,0.0025,0.001,0.001,0.034,0.0015,0.005,0.82,0.0005,1.31,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.007,0.0025,0,0,1739,1837,309,58.55830765,4.33239794,Admisible,28.00681327,30.54344339,16.86406,16.74641,0.11765,4.491242078,6.418432421,0.002881429,0.227546018,0.00016684,0.000268601,0.001111852,0.000946522,0.000152952,6.177586654,6.047603985,8.119840518,15.09040138,1.145087414,0.129982669,0.010527424,0.010262315,34.55262239,0.553119494,1.109739302,0.000680056,1.429099637,-0.117535852,27.77373906,0.161708226,0.231097167,0.607194607,0.72274,0.20014,29.38783,0.210209021,0.276299438,0.513491541,1.75164126,0.239282333,1.248492793,1.110761042,Clorurada,sodica,1.773663184,-3.257770004,7.170193227,2019-067,8457-19,IE 048-19,60.29584799
A1,Rio Limari,LIM-FF-053,SNGM-LMR-0005,Rio Limari en cruce a Barraza,262080,6606125,57,Superficial,Rio,Campana 4,Clorurada mixta,Salobre,-4.47,-7.54,-61.6,-1.33,8.176524326,7.85,8.19,2709,2600,62.9,6.02,16.23,0,317,361,519,68,153,73,276,4,0.02,0.18,0.01,0.005,0.0025,0.076,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.028,0,0.0025,0.001,0.001,0.047,0.0015,0.01,0.96,0.0005,1.19,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.005,0.0025,0,0,1609,1700,260,54.48806167,4.467553731,Admisible,26.02280129,28.45670239,12.10753,12.00522,0.10231,7.635111533,6.006994446,0.002881429,0.266395338,0.00016684,0.000268601,0.001111852,0.002038662,0.000305904,5.195367109,5.195367109,7.516057505,14.63909965,1.096703438,0,0.009474682,0.012014417,-99,1.015839957,0.820079099,0.000820707,0.786759227,0.172932286,25.74963266,0.296513416,0.233284666,0.470201919,0.58684,0.20203,27.35052,0.189954937,0.274804879,0.535240184,1.772642624,0.237988006,1.190123491,1.246940741,Clorurada,mixta,-2.531572969,0.930681364,4.596681354,2019-067,8458-19,IE 048-19,46.62287738
A2,Rio Limari,LIM-FF-054,SNGM-LMR-0118,Pozo 1 Pisquera de Chile,273694,6605071,256,Subterranea,Pozo,Campana 4,Clorurada sodica,Salobre,-3.79,-7.79,-62.2,0.11,7.985404276,7.88,7.98,6834,6640,63.4,5.52,20.21,0,214.5,904,1731,90,305,45,1100,3.5,0.02,0.17,0.01,0.005,0.0025,0.063,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.003,0.001,0.107,0.0015,0.013,1.63,0.0005,4.52,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.002,0.0025,0,0,4284,4523,176,139.958228,3.791354371,Admisible,67.31692345,72.6225238,47.93641,47.84689,0.08952,15.22032038,3.702941782,0.002881429,0.452317084,0.00016684,0.000268601,0.001111852,0.000109214,0.000397675,3.515477113,3.515477113,18.82137392,48.8252052,1.451519257,0,0.00894831,0.020399479,-99,0.808672121,0.979962906,0.000417806,0.243289345,0.018203643,66.85967075,0.227645757,0.055383787,0.716970456,0.74466,0.04796,71.16206,0.049401005,0.264486089,0.686112906,1.91835595,0.229051672,1.383784725,1.154956194,Clorurada,sodica,-0.888796604,-3.413588875,15.55502483,2019-067,8459-19,IE 048-19,71.56315521
A2,Rio Limari,LIM-FF-055,SNGM-LMR-0122,Pozo 2 Parcela 6 en Camarico,279972,6602807,258,Subterranea,Pozo,Campana 4,Bicarbonatada mixta,Dulce moderadamente mineralizada,5.59,-8.28,-62.6,3.69,7.554512833,7.68,8.29,1001,1018,27.9,2.53,20.64,3.4,259,94,30,4.4,57,33,55,1.6,0.02,0.09,0.03,0.005,0.0025,0.024,0.001,0.03,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0,0.0025,0.001,0.001,0.038,0.006,0.005,0.34,0.0005,0.88,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.004,0.0025,0,0,406,428,218,15.33222602,5.591566144,Descartar,8.094363019,7.237094435,2.43327,2.39234,0.04092,2.844453316,2.71549064,0.002881429,0.094348349,0.00016684,0.000268601,0.003224372,0.000109214,0.000152952,4.358113433,4.244795209,1.957089766,0.846190731,0.070963164,0.113318224,0.004737341,0.004255106,25.10146391,1.453409734,2.827192982,0.005028543,0.954661701,-1.875554194,7.993211263,0.355858643,0.339724618,0.304416739,0.47428,0.29421,7.16139,0.608556585,0.273283356,0.118160059,1.354801737,0.236670329,0.897930077,1.027995256,Bicarbonatada,mixta,1.587076576,-0.641941019,1.434840112,2019-067,8460-19,IE 048-19,29.92970433
