Contexto_H,SubCuenca,Cod_Muestr,Cod_SNGM,Nombre_Pto,uTM_Este,uTM_Norte,Elv,Tipo_Pto,Categoria,Campana,Tipo_Piper,Salinidad,Balan_Ioni,Oxigeno_18,Deuterio,Ex_deuteri,D_O,pH_Terr,pH_Lab,CE_terr,CE_Lab_uS_,OD _,OD ppm,Temp_Terr,CO3_mg/l,HCO3_mg/l,SO4_mg_l,Cl_mg_l,NO3_mg_l,Ca_mg_l,Mg_mg_l,Na_mg_l,K_mg_l,Li_mg_l,F_mg_l,Al_mg_l,Sb_mg_l,As_mg_l,Ba_mg_l,Be_mg_l,B_mg_l,Cd_mg_l,Co_mg_l,Cu_mg_l,Cr_mg_l,Sn_mg_l,P_mg_l,Fe_mg_l,Mn_mg_l,Hg_mg_l,Mo_mg_l,Ag_mg_l,Pb_mg_l,Se_mg_l,V_mg_l,Zn_mg_l,Br_mg_l,Rb_mg_l,Sr_mg_l,Y_mg_l,Cs_mg_l,Hf_mg_l,Ta_mg_l,Tl_mg_l,Th_mg_l,u_mg_l,Ni_mg_l,SiO2_mg_l,I_mg_l,SSD_mg_l,STD_mg_l,Alca_CaCO3,TDS_meq_l,Balan_abso,Balan_5,Cat_r_tot,An_r_tot,rNa_rK,rNa,rK,rCa,rMg,rLi,rB,rAs,rFe,rAl,rMn,rZn,rHCO3_rCO3,rHCO3,rSO4,rCl,rNO3,rCO3,rF,rBr,rCa_rCO3,rCa_rSO4,rNa_rCl,rBr_rCl,rMg_rCa,ICB,rCat_tot,Ca,Mg,Na_K,CatX,CatY,rAn_tot,HCO3_CO3,SO4,Cl,AnX,AnY,CeX,CeY,Anion,Cation,K_NaCl,Ca_MgSO4HC,RAS_1,Infoqca,Codlab,InfoOD,Na100
A1,Rio Limari,LIM-CE-011,SNGM-LMR-0002,Rio Limari antes de desembocadura,245024,6596957,3,Superficial,Rio,Campana 3,Clorurada mixta,Salobre,-5.2,-6.93,-57.3,-1.85,8.267139069,8.25,8.5,2750,3100,120.2,11.78,15.96,12.72,190.11,440,691,1.5,195,90,270,5.8,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,1899,177,61.25846789,5.204117144,Descartar,29.03525273,32.22321516,11.89258,11.74424,0.14835,9.731024502,7.405883563,0.005762858,0,0,0,0,0,0,3.539688714,3.11574524,9.160845713,19.49059318,0.024191988,0.423943474,0.007895568,0,22.95358956,1.062240846,0.60255922,0,0.761058978,0.389829663,29.02948987,0.335211695,0.25511587,0.409672435,0.53723,0.22094,32.19113,0.109958519,0.284576726,0.605464755,1.847753118,0.246450674,1.199856958,1.368639741,Clorurada,mixta,-7.598011371,4.860317112,4.012116704,2019-050,8403-19,IE 047-19,40.45622805
A1,Rio Limari,LIM-CE-012,SNGM-LMR-0001,Rio Limari en desembocadura,241611,6597276,1,Superficial,Rio,Campana 3,Clorurada sodica,Muy salada,-0.77,-0.37,-1.9,1.12,4.988047203,8.26,8.19,44410,49700,122.6,10.19,15.89,0,126.17,259.475,18913.44,1.5,405,1200,9300,357.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30498,32206,103,1073.793373,0.769145211,Admisible,532.7671712,541.0262015,413.6674,404.52371,9.14369,20.21058935,98.74511417,0.144071459,0,0,0,0,0,0,2.067821666,2.067821666,5.402296457,533.4792542,0.024191988,0,0.05263712,0,-99,3.74111075,0.758274484,0,4.885810723,0.224585787,532.6230997,0.037945386,0.185393976,0.776660638,0.86936,0.16056,540.94937,0.003822579,0.009986695,0.986190726,2.091184074,0.008648732,1.436419029,1.142735055,Clorurada,sodica,-119.8118581,111.4855854,52.45251785,2019-050,8404-19,IE 047-19,75.94933569
B1,Rio Guatulame,LIM-CE-013,SNGM-LMR-0180,Pique El Maiten en Comunidad Agricola Altar Alto,299712,6587606,788,Subterranea,Pique,Campana 3,Bicarbonatada mixta,Dulce moderadamente mineralizada,-0.21,-6.4,-46.5,4.75,7.257665528,7.56,8.68,771,819,93.2,8.06,17.97,22.8,256.97,56.92,65.144,41.757,58.8,35,65,0.14,0.02,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,499,248,17.3318756,0.205579738,Admisible,8.648122387,8.683753211,2.8309,2.82732,0.00358,2.934278158,2.88006583,0.002881429,0,0,0,0,0,0,4.971423873,4.211525193,1.185080314,1.837474967,0.673456551,0.75989868,0.016317507,0,3.861407098,2.476016287,1.538696459,0,0.981524476,-0.54064519,8.645240958,0.339409644,0.333138873,0.327451483,0.49402,0.28851,7.99398,0.621896027,0.14824661,0.229857363,1.403980668,0.128385331,0.902777728,0.996494288,Bicarbonatada,mixta,0.993422003,0.417738482,1.658208062,2019-050,8405-19,IE 047-19,32.70372958
B1,Rio Guatulame,LIM-CE-014,SNGM-LMR-0174,Noria Esco AdV Combarbala,310350,6548264,897,Subterranea,Noria,Campana 3,Bicarbonatada calcica,Dulce moderadamente mineralizada,0.77,-9.47,-71.4,4.43,7.5324231,7.2,8.57,426,474,62.2,4.83,22.6,18.24,214.76,24.764,8.539,4.973,54,14,27,1.13,0.02,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,273,206,10.02833709,0.774003932,Admisible,5.052978405,4.975358681,1.20333,1.17442,0.0289,2.694745247,1.152026332,0.002881429,0,0,0,0,0,0,4.127657242,3.519738298,0.515589053,0.240854089,0.080204503,0.607918944,0.011053795,0,4.43273774,5.226536972,4.876079413,0,0.427508438,-3.996076272,5.050096975,0.533602673,0.228119646,0.238277681,0.35234,0.19756,4.8841,0.845121295,0.105564794,0.04931391,1.202096308,0.091421794,0.746578193,0.880402312,Bicarbonatada,calcica,0.962471308,-0.188555772,0.846820945,2019-050,8406-19,IE 047-19,23.25546753
B1,Rio Guatulame,LIM-CE-015,SNGM-LMR-0138,Pozo 3 AdV Combarbala,310103,6548097,890,Subterranea,Pozo,Campana 3,Sulfatada sodica,Dulce mineralizada,0.09,-9.41,-70.2,5.06,7.46210692,7.96,8.21,1012,981,56,4.27,23.53,1.44,66.87,282.246,85.005,1.5,63.8,8,126.3,0.21,1,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,634,57,18.95322196,0.090927832,Admisible,9.485227856,9.467994102,5.49906,5.49369,0.00537,3.183791606,0.658300761,0.144071459,0,0,0,0,0,0,1.143937445,1.095943844,5.876391043,2.397681437,0.024191988,0.047993601,0.025792189,0,66.33783566,0.541793693,2.291252217,0,0.206766285,-1.293492348,9.341156396,0.340834846,0.070473155,0.588691999,0.62393,0.06103,9.41801,0.121462756,0.623952522,0.254584722,1.666560983,0.540358735,1.283614621,1.203641289,Sulfatada,sodica,3.101382591,-3.13024252,3.963651626,2019-050,8407-19,IE 047-19,58.81170036
B1,Rio Guatulame,LIM-CE-016,SNGM-LMR-0133,Pozo 3 Agricola Las Totoras,303164,6578472,688,Subterranea,Pozo,Campana 3,- -,Dulce,,-7.8,-55.6,6.83,7.12468631,3.94,2.41,4474,4460,59.6,4.66,22.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,0,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,1.05,19.13916142,-,-,0,0,-99,2019-050,8408-19,IE 047-19,-99
B2,Rio Grande Medio,LIM-CE-017,SNGM-LMR-0175,Noria Raul Milla en Piedras Bonitas,313357,6609282,620,Subterranea,Noria,Campana 3,Bicarbonatada calcica,Dulce moderadamente mineralizada,3.53,-6.13,-49.3,-0.26,8.042447958,7.32,8.43,675,263,58.2,5.32,16,0,90.34,38.67,5.186,1.5,35,4.8,10.8,0.5,0.01,0.08,0.01,0.005,0.0025,0.003,0.001,0.382,0.001,0.001,0.005,0.0005,0.0015,0.025,0.012,0.0015,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.046,0.0005,0.142,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,146,154,82,5.100117331,3.531350412,Admisible,2.640523432,2.460392226,0.48256,0.46977,0.01279,1.746594141,0.394980457,0.001440715,0.012764777,0.00016684,0.000644641,0.001111852,0.000109214,0.000152952,1.48059768,1.48059768,0.805113418,0.146278171,0.024191988,0,0.00421097,0.000575691,-99,2.169376517,3.211480301,0.003935589,0.226143239,-2.298905361,2.624132441,0.665589173,0.150518492,0.183892335,0.25915,0.13035,2.43199,0.608801075,0.331051386,0.06014754,1.325673233,0.28669891,0.83754563,1.132160718,Bicarbonatada,calcica,0.336279672,-0.1441365,0.453976298,2019-52,8424-19,IE 044-19,17.90189617
B2,Rio Grande Medio,LIM-CE-018,SNGM-LMR-0101,Vertiente Quebrada Los Maitenes en Comunidad Agricola Montepatria,316024,6611179,797.66,Vertiente,Vertiente,Campana 3,Sulfatada calcica,Dulce mineralizada,-1.4,-7.06,-53.6,2.9,7.589226863,7.28,8.19,807,762,60,5.25,17.1,0,185.57,213.102,23.556,11.08,81.5,21,51.5,0.5,0.02,0.09,0.01,0.005,0.0025,0.01,0.001,0.418,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.042,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.148,0.0005,0.44,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,494,521,152,16.42024849,1.396225577,Admisible,8.096710432,8.326008636,2.25289,2.2401,0.01279,4.067069215,1.728039498,0.002881429,0.041069281,0.00016684,0.000268601,0.001111852,0.003057993,0.000152952,3.041338405,3.041338405,4.43680578,0.664428962,0.178698149,0,0.004737341,0.001852223,-99,0.916666047,3.37147313,0.002787691,0.424885687,-2.390720301,8.048001484,0.505351449,0.214716598,0.279931953,0.38729,0.18595,8.14257,0.373510726,0.544889889,0.081599385,1.45404433,0.471888486,1.003210614,1.252755389,Sulfatada,calcica,1.588463809,-1.683035472,1.315989614,2019-52,8425-19,IE 044-19,27.83429399
B2,Rio Grande Medio,LIM-CE-019,SNGM-LMR-0099,Vertiente El Sauce Verde en Comunidad Agricola Montepatria,315545,6611962,797.73,Vertiente,Vertiente,Campana 3,Mixta,Dulce moderadamente mineralizada,0.13,-6.82,-53.7,0.92,7.865783909,7.48,8.42,586,495,77.8,6.35,20.53,0,125.26,110.757,13.292,18.417,47.5,12.4,37,0.5,0.02,0.08,0.01,0.005,0.0025,0.003,0.001,0.299,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.003,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.11,0.0005,0.364,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,311,328,118,10.08318457,0.131042638,Admisible,5.048252279,5.035038868,1.62218,1.6094,0.01279,2.370377763,1.02036618,0.002881429,0.030524466,0.00016684,0.000268601,0.001111852,0.000218428,0.000152952,2.052907521,2.052907521,2.305972247,0.374918907,0.297029224,0,0.00421097,0.001376652,-99,1.027929875,4.292649318,0.003671866,0.43046564,-3.326759035,5.01292771,0.472852971,0.203546957,0.323600072,0.42537,0.17628,4.7338,0.433670222,0.487129345,0.079200433,1.422765106,0.421866388,0.994964925,1.162838036,Mixta,mixta,1.247264861,-0.968135824,1.236033534,2019-52,8426-19,IE 044-19,32.10489922
B2,Rio Grande Medio,LIM-CE-020,SNGM-LMR-0100,Vertiente El Maiten en Comunidad Agricola Montepatria,315636,6613938,923.48,Vertiente,Vertiente,Campana 3,Bicarbonatada mixta,Dulce moderadamente mineralizada,2.99,-6.93,-54.3,1.19,7.827722323,7.49,8.5,446,327,46.1,4.2,14.68,0,131.61,24,10,14,29,7.8,28,0.5,0.02,0.05,0.01,0.005,0.0025,0.003,0.001,0.28,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.084,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.116,0.0005,0.274,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,187,198,124,6.523837072,2.993506737,Admisible,3.362617554,3.167148566,1.23071,1.21792,0.01279,1.447178003,0.641843242,0.002881429,0.032189437,0.00016684,0.000268601,0.001111852,0.006115985,0.000152952,2.156978755,2.156978755,0.499682493,0.282063577,0.225791884,0,0.002631856,0.001451742,-99,2.896195128,4.317894737,0.005146861,0.44351368,-3.363233373,3.319730458,0.435932381,0.193341975,0.370725644,0.4674,0.16744,2.93872,0.733984596,0.170033781,0.095981623,1.280998513,0.147253574,0.868370524,0.861946216,Bicarbonatada,mixta,0.948645636,-0.567640003,1.191688174,2019-52,8427-19,IE 044-19,36.68734105
